"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Falco vespertinus","西红脚隼","Red-footed Falcon","Cernícalo patirrojo","VU","87"
"Falco cherrug","猎隼","Saker Falcon","Halcón sacre","EN","67"
"Microhierax melanoleucos","白腿小隼","Pied Falconet","Falconete pío","NE","13"
