"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Spilopelia chinensis","珠颈斑鸠","Spotted Dove","Tórtola moteada oriental","NE","385"
"Streptopelia turtur","欧斑鸠","European Turtle Dove","Tórtola europea","VU","116"
"Treron phayrei","灰头绿鸠","Ashy-headed Green Pigeon","Vinago del Himalaya","NT","50"
"Columba punicea","紫林鸽","Pale-capped Pigeon","Paloma purpúrea","VU","10"
"Ducula aenea","绿皇鸠","Green Imperial Pigeon","Dúcula verde","NT","9"
NULL,NULL,NULL,NULL,"NE","3"
