"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Halcyon pileata","蓝翡翠","Black-capped Kingfisher","Alción capirotado","VU","1347"
"Alcedo hercules","斑头大翠鸟","Blyth's Kingfisher","Martín pescador hércules","NT","94"
"Coracias affinis","棕胸佛法僧","Indochinese Roller","Carraca indochina","NE","84"
"Megaceryle lugubris","冠鱼狗","Crested Kingfisher","Martín gigante asiático","NE","14"
"Todiramphus chloris","白领翡翠","Collared Kingfisher","Alción acollarado","NE","1"
NULL,NULL,NULL,NULL,"NE","1"
