"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Upupa epops","Upupidae","戴胜","Eurasian Hoopoe","Abubilla común","Huppe fasciée","Wiedehopf","Удод","Upupa","poupa-eurasiática","ヤツガシラ","19818","https://www.gbif.org/species/2498415","https://baike.baidu.com/item/戴胜"
"Rhyticeros undulatus","Bucerotidae","花冠皱盔犀鸟","Wreathed Hornbill","Cálao gorjinegro","Calao festonné","Furchenhornvogel","Волнистый калао","Bucero crespato","calau-vincado","シワコブサイチョウ","242","https://www.gbif.org/species/2475916","https://baike.baidu.com/item/花冠皱盔犀鸟"
"Buceros bicornis","Bucerotidae","双角犀鸟","Great Hornbill","Cálao bicorne","Calao bicorne","Doppelhornvogel","Двурогий калао, гомрай","Bucero maggiore","calau-malhado-grande","オオサイチョウ","200","https://www.gbif.org/species/2476012","https://baike.baidu.com/item/双角犀鸟"
"Anthracoceros albirostris","Bucerotidae","冠斑犀鸟","Oriental Pied Hornbill","Cálao cariblanco","Calao pie","Orienthornvogel","Белоклювая птица-носорог","Bucero bianconero orientale","calau-de-faces-brancas","キタカササギサイチョウ","119","https://www.gbif.org/species/2475991","https://baike.baidu.com/item/冠斑犀鸟"
"Aceros nipalensis","Bucerotidae","棕颈犀鸟","Rufous-necked Hornbill","Cálao del Nepal","Calao à cou roux","Nepalhornvogel","Непальский калао","Bucero collorossiccio","calau-nepalês","ナナミゾサイチョウ","3","https://www.gbif.org/species/5228459","https://baike.baidu.com/item/棕颈犀鸟"
"Anorrhinus austeni","Bucerotidae","白喉犀鸟","Austen's Brown Hornbill","Cálao pardo de Austen","Calao d’Austen","Weißgesicht-Hornvogel","Белолицая птица-носорог","Bucero bruno","calau-castanho","アッサムサイチョウ","1","https://www.gbif.org/species/4843783","https://baike.baidu.com/item/白喉犀鸟"
