"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Rhyticeros undulatus","花冠皱盔犀鸟","Wreathed Hornbill","Cálao gorjinegro","VU","242"
"Buceros bicornis","双角犀鸟","Great Hornbill","Cálao bicorne","VU","200"
"Aceros nipalensis","棕颈犀鸟","Rufous-necked Hornbill","Cálao del Nepal","VU","3"
"Anorrhinus austeni","白喉犀鸟","Austen's Brown Hornbill","Cálao pardo de Austen","NT","1"
