"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Caprimulgus jotaka","Caprimulgidae","普通夜鹰","Grey Nightjar","Chotacabras jotaka","Engoulevent jotaka","Graunachtschwalbe","Большой козодой",NULL,"noitibó-cinzento","ヨタカ","1634","https://www.gbif.org/species/6101184","https://baike.baidu.com/item/普通夜鹰"
"Caprimulgus affinis","Caprimulgidae","林夜鹰","Savanna Nightjar","Chotacabras de sabana","Engoulevent affin","Savannennachtschwalbe","Саванный козодой","Succiacapre di savana","noitibó-da-savana","シロアゴヨタカ","130","https://www.gbif.org/species/2496952","https://baike.baidu.com/item/林夜鹰"
"Caprimulgus macrurus","Caprimulgidae","长尾夜鹰","Large-tailed Nightjar","Chotacabras macruro","Engoulevent de Horsfield","Langschwanz-Nachtschwalbe","Длиннохвостый козодой","Succiacapre codalarga","noitibó-de-cauda-larga","オビロヨタカ","124","https://www.gbif.org/species/2496890","https://baike.baidu.com/item/长尾夜鹰"
"Caprimulgus europaeus","Caprimulgidae","欧夜鹰","European Nightjar","Chotacabras europeo","Engoulevent d’Europe","Nachtschwalbe","Козодой","Succiacapre","noitibó-europeu","ヨーロッパヨタカ","119","https://www.gbif.org/species/8109681","https://baike.baidu.com/item/欧夜鹰"
"Batrachostomus hodgsoni","Podargidae","黑顶蟆口鸱","Hodgson's Frogmouth","Podargo colilargo","Podarge de Hodgson","Langschwanzschwalm","Длиннохвостый лягушкорот","Bocca di rana di Hodgson","boca-de-sapo-rabilongo","メスボシガマグチヨタカ","45","https://www.gbif.org/species/2497128","https://baike.baidu.com/item/黑顶蟆口鸱"
"Lyncornis macrotis","Caprimulgidae","毛腿耳夜鹰","Great Eared Nightjar","Chotacabras orejudo","Engoulevent oreillard","Riesennachtschwalbe","Гигантский рогатень","Succiacapre orecchiuto maggiore","noitibó-orelhudo-grande","オオミミヨタカ","8","https://www.gbif.org/species/6101186","https://baike.baidu.com/item/毛腿耳夜鹰"
"Caprimulgus indicus","Caprimulgidae","丛林夜鹰","Jungle Nightjar","Chotacabras de jungla","Engoulevent de jungle","Dschungelnachtschwalbe","Джунглевый козодой","Succiacapre grigio","noitibó-da-selva","ジャングルヨタカ","4","https://www.gbif.org/species/9509689","https://baike.baidu.com/item/丛林夜鹰"
