"学名","中文名","英文名","西班牙文名","保护状况","出现次数"
"Ciconia boyciana","东方白鹳","Oriental Stork","Cigüeña oriental","EN","2343"
"Mycteria leucocephala","彩鹳","Painted Stork","Tántalo indio","NT","19"
"Leptoptilos javanicus","秃鹳","Lesser Adjutant","Marabú menor","VU","16"
"Ciconia episcopus","白颈鹳","Asian Woolly-necked Stork","Cigüeña lanuda asiática","NT","2"
NULL,NULL,NULL,NULL,"NE","1"
