"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Ciconia boyciana","Ciconiidae","东方白鹳","Oriental Stork","Cigüeña oriental","Cigogne orientale","Schwarzschnabelstorch","Дальневосточный аист","Cicogna orientale","cegonha-oriental","コウノトリ","2345","https://www.gbif.org/species/2481916","https://baike.baidu.com/item/东方白鹳"
"Ciconia nigra","Ciconiidae","黑鹳","Black Stork","Cigüeña negra","Cigogne noire","Schwarzstorch","Чёрный аист","Cicogna nera","cegonha-preta","ナベコウ","2120","https://www.gbif.org/species/2481909","https://baike.baidu.com/item/黑鹳"
"Anastomus oscitans","Ciconiidae","钳嘴鹳","Asian Openbill","Picotenaza asiático","Bec-ouvert indien","Silberklaffschnabel","Индийский аист-разиня","Anastomo asiatico","cegonha-de-bico-aberto-asiática","スキハシコウ","366","https://www.gbif.org/species/5229410","https://baike.baidu.com/item/钳嘴鹳"
"Mycteria leucocephala","Ciconiidae","彩鹳","Painted Stork","Tántalo indio","Tantale indien","Buntstorch","Расписной клювач","Cicogna pittata","cegonha-pintada","インドトキコウ","22","https://www.gbif.org/species/2481938","https://baike.baidu.com/item/彩鹳"
"Leptoptilos javanicus","Ciconiidae","秃鹳","Lesser Adjutant","Marabú menor","Marabout chevelu","Sundamarabu","Зондский марабу","Marabù asiatico minore","marabu-pequeno","コハゲコウ","16","https://www.gbif.org/species/2481947","https://baike.baidu.com/item/秃鹳"
NULL,"Ciconiidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8",NULL,NULL
"Ciconia episcopus","Ciconiidae","白颈鹳","Asian Woolly-necked Stork","Cigüeña lanuda asiática","Cigogne épiscopale","Wollhalsstorch","Аист-епископ","Cicogna lanosa","cegonha-lanuda","エンビコウ","2","https://www.gbif.org/species/2481918","https://baike.baidu.com/item/白颈鹳"
