"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Limnodromus semipalmatus","Scolopacidae","半蹼鹬","Asian Dowitcher","Agujeta asiática","Bécassin d’Asie","Steppenschlammläufer","Азиатский бекасовидный веретенник","Piro piro pettorossiccio asiatico","maçarico-das-estepes","シベリアオオハシシギ","1532","https://www.gbif.org/species/2481671","https://baike.baidu.com/item/半蹼鹬"
"Hydrophasianus chirurgus","Jacanidae","水雉","Pheasant-tailed Jacana","Jacana colilarga","Jacana à longue queue","Fasanenblatthühnchen","Фазанохвостая якана","Jacana codalunga","jaçanã-rabo-de-faisão","レンカク","1490","https://www.gbif.org/species/2481840","https://baike.baidu.com/item/水雉"
"Larus canus","Laridae","普通海鸥","Common Gull","Gaviota cana","Goéland cendré","Sturmmöwe","Сизая чайка","Gavina","gaivota-parda","カモメ","1486","https://www.gbif.org/species/7982160","https://baike.baidu.com/item/普通海鸥"
"Tringa guttifer","Scolopacidae","小青脚鹬","Nordmann's Greenshank","Archibebe moteado","Chevalier tacheté","Tüpfelgrünschenkel","Охотский улит","Pantana di Nordmann","perna-verde-mosqueado","カラフトアオアシシギ","1191","https://www.gbif.org/species/2481723","https://baike.baidu.com/item/小青脚鹬"
"Larus fuscus","Laridae","小黑背鸥","Lesser Black-backed Gull","Gaviota sombría","Goéland brun","Heringsmöwe","Клуша","Zafferano","gaivota-d'asa-escura","ニシセグロカモメ","1136","https://www.gbif.org/species/2481174","https://baike.baidu.com/item/小黑背鸥"
"Calidris pygmaea","Scolopacidae","勺嘴鹬","Spoon-billed Sandpiper","Correlimos cuchareta","Bécasseau spatule","Löffelstrandläufer","Лопатень","Gambecchio becco a spatola","pilrito-colhereiro","ヘラシギ","955","https://www.gbif.org/species/10658506","https://baike.baidu.com/item/勺嘴鹬"
"Thalasseus bergii","Laridae","大凤头燕鸥","Greater Crested Tern","Charrán piquigualdo","Sterne huppée","Eilseeschwalbe","Хохлатая крачка","Sterna di Bergius","garajau-de-bico-amarelo","オオアジサシ","890","https://www.gbif.org/species/5789283","https://baike.baidu.com/item/大凤头燕鸥"
"Scolopax rusticola","Scolopacidae","丘鹬","Eurasian Woodcock","Chocha perdiz","Bécasse des bois","Waldschnepfe","Вальдшнеп","Beccaccia","galinhola-eurasiática","ヤマシギ","774","https://www.gbif.org/species/2481700","https://baike.baidu.com/item/丘鹬"
"Calidris minuta","Scolopacidae","小滨鹬","Little Stint","Correlimos menudo","Bécasseau minute","Zwergstrandläufer","Кулик-воробей","Gambecchio comune","pilrito-pequeno","ヨーロッパトウネン","738","https://www.gbif.org/species/2481749","https://baike.baidu.com/item/小滨鹬"
"Calidris pugnax","Scolopacidae","流苏鹬","Ruff","Combatiente","Combattant varié","Kampfläufer","Турухтан","Combattente","combatente","エリマキシギ","737","https://www.gbif.org/species/8250742","https://baike.baidu.com/item/流苏鹬"
"Ibidorhyncha struthersii","Ibidorhynchidae","鹮嘴鹬","Ibisbill","Picoibis","Bec-d’ibis tibétain","Ibisschnabel","Серпоклюв","Becco d'ibis","bico-de-íbis","トキハシゲリ","705","https://www.gbif.org/species/2480336","https://baike.baidu.com/item/鹮嘴鹬"
"Phalaropus lobatus","Scolopacidae","红颈瓣蹼鹬","Red-necked Phalarope","Falaropo picofino","Phalarope à bec étroit","Odinshühnchen","Круглоносый плавунчик","Falaropo beccosottile","falaropo-de-bico-fino","アカエリヒレアシシギ","663","https://www.gbif.org/species/5739290","https://baike.baidu.com/item/红颈瓣蹼鹬"
"Rostratula benghalensis","Rostratulidae","彩鹬","Greater Painted-snipe","Aguatero bengalí","Rhynchée peinte","Goldschnepfe","Цветной бекас","Beccaccia dorata","narceja-pintada-grande","タマシギ","657","https://www.gbif.org/species/2482029","https://baike.baidu.com/item/彩鹬"
"Numenius minutus","Scolopacidae","小杓鹬","Little Curlew","Zarapito chico","Courlis nain","Zwergbrachvogel","Кроншнеп-малютка","Chiurlo nano","maçarico-pequeno","コシャクシギ","618","https://www.gbif.org/species/2481782","https://baike.baidu.com/item/小杓鹬"
"Thalasseus bernsteini","Laridae","中华凤头燕鸥","Chinese Crested Tern","Charrán chino","Sterne d’Orient","Bernsteinseeschwalbe","Китайская крачка","Sterna della Cina","garajau-chinês","ヒガシシナアジサシ","553","https://www.gbif.org/species/6065837","https://baike.baidu.com/item/中华凤头燕鸥"
"Charadrius veredus","Charadriidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"454","https://www.gbif.org/species/2480309",NULL
"Onychoprion anaethetus","Laridae","褐翅燕鸥","Bridled Tern","Charrán embridado","Sterne bridée","Zügelseeschwalbe","Бурокрылая крачка","Sterna dalle redini","gaivina-de-dorso-castanho","マミジロアジサシ","402","https://www.gbif.org/species/5789286","https://baike.baidu.com/item/褐翅燕鸥"
"Vanellus duvaucelii","Charadriidae","距翅麦鸡","River Lapwing","Avefría fluvial","Vanneau pie","Flusskiebitz","Индийский чибис","Pavoncella di fiume","abibe-ribeirinho","カタグロツバメゲリ","334","https://www.gbif.org/species/5229132","https://baike.baidu.com/item/距翅麦鸡"
"Sterna sumatrana","Laridae","黑枕燕鸥","Black-naped Tern","Charrán de Sumatra","Sterne diamant","Schwarznacken-Seeschwalbe","Светлая крачка","Sterna nucanera","andorinha-do-mar-de-samatra","エリグロアジサシ","273","https://www.gbif.org/species/5229214","https://baike.baidu.com/item/黑枕燕鸥"
"Vanellus indicus","Charadriidae","肉垂麦鸡","Red-wattled Lapwing","Avefría india","Vanneau indien","Rotlappenkiebitz","Украшенный чибис","Pavoncella indiana","abibe-do-índico","インドトサカゲリ","272","https://www.gbif.org/species/5229131","https://baike.baidu.com/item/肉垂麦鸡"
"Gallinago solitaria","Scolopacidae","孤沙锥","Solitary Snipe","Agachadiza solitaria","Bécassine solitaire","Einsiedlerbekassine","Горный дупель","Beccaccino solitario","narceja-solitária","アオシギ","253","https://www.gbif.org/species/2481810","https://baike.baidu.com/item/孤沙锥"
"Gallinago stenura","Scolopacidae","针尾沙锥","Pin-tailed Snipe","Agachadiza colirrara","Bécassine à queue pointue","Spießbekassine","Азиатский бекас","Beccaccino stenuro","narceja-siberiana","ハリオシギ","251","https://www.gbif.org/species/2481828","https://baike.baidu.com/item/针尾沙锥"
"Turnix tanki","Turnicidae","黄脚三趾鹑","Yellow-legged Buttonquail","Torillo tanki","Turnix indien","Rotnacken-Laufhühnchen","Пятнистая трёхперстка","Quaglia tridattila zampegialle","toirão-de-patas-amarelas","チョウセンミフウズラ","223","https://www.gbif.org/species/2474968","https://baike.baidu.com/item/黄脚三趾鹑"
"Larus cachinnans","Laridae","里海银鸥","Caspian Gull","Gaviota del Caspio","Goéland pontique","Steppenmöwe","Хохотунья","Gabbiano reale pontico","gaivota-do-cáspio","カスピセグロカモメ","220","https://www.gbif.org/species/2481181","https://baike.baidu.com/item/里海银鸥"
"Gallinago megala","Scolopacidae","大沙锥","Swinhoe's Snipe","Agachadiza del Baikal","Bécassine de Swinhoe","Waldbekassine","Лесной дупель","Beccaccino di Swinhoe","narceja-de-swinhoe","チュウジシギ","205","https://www.gbif.org/species/2481815","https://baike.baidu.com/item/大沙锥"
"Sterna dougallii","Laridae","粉红燕鸥","Roseate Tern","Charrán rosado","Sterne de Dougall","Rosenseeschwalbe","Розовая крачка","Sterna di Dougall","andorinha-do-mar-rósea","ベニアジサシ","190","https://www.gbif.org/species/5229249","https://baike.baidu.com/item/粉红燕鸥"
"Limnodromus scolopaceus","Scolopacidae","长嘴半蹼鹬","Long-billed Dowitcher","Agujeta escolopácea","Bécassin à long bec","Tundraschlammläufer","Американский бекасовидный веретенник","Limnodromo pettorossiccio","maçarico-de-bico-comprido","オオハシシギ","188","https://www.gbif.org/species/2481670","https://baike.baidu.com/item/长嘴半蹼鹬"
"Sterna aurantia","Laridae","黄嘴河燕鸥","River Tern","Charrán indio","Sterne de rivière","Goldschnabel-Seeschwalbe","Индийская крачка","Sterna di fiume","andorinha-do-mar-ribeirinha","カワアジサシ","183","https://www.gbif.org/species/5229239","https://baike.baidu.com/item/黄嘴河燕鸥"
"Turnix suscitator","Turnicidae","棕三趾鹑","Barred Buttonquail","Torillo batallador","Turnix combattant","Bindenlaufhühnchen","Полосатая трёхперстка","Quaglia tridattila barrata","toirão-barrado","ミフウズラ","164","https://www.gbif.org/species/2474982","https://baike.baidu.com/item/棕三趾鹑"
"Charadrius hiaticula","Charadriidae","剑鸻","Common Ringed Plover","Chorlitejo grande","Pluvier grand-gravelot","Sandregenpfeifer","Галстучник","Corriere grosso","borrelho-grande-de-coleira","ハジロコチドリ","137","https://www.gbif.org/species/9566659","https://baike.baidu.com/item/剑鸻"
"Glareola lactea","Glareolidae","灰燕鸻","Small Pratincole","Canastera chica","Glaréole lactée","Sandbrachschwalbe","Малая тиркушка","Pernice di mare minore","perdiz-do-mar-pequena","ヒメツバメチドリ","126","https://www.gbif.org/species/2480755","https://baike.baidu.com/item/灰燕鸻"
"Chlidonias niger","Laridae","黑浮鸥","Black Tern","Fumarel común","Guifette noire","Trauerseeschwalbe","Чёрная крачка","Mignattino comune","gaivina-preta","ハシグロクロハラアジサシ","126","https://www.gbif.org/species/2481119","https://baike.baidu.com/item/黑浮鸥"
"Rissa tridactyla","Laridae","三趾鸥","Black-legged Kittiwake","Gaviota tridáctila","Mouette tridactyle","Dreizehenmöwe","Моевка","Gabbiano tridattilo","gaivota-tridáctila","ミツユビカモメ","122","https://www.gbif.org/species/2481205","https://baike.baidu.com/item/三趾鸥"
"Larus hyperboreus","Laridae","北极鸥","Glaucous Gull","Gavión hiperbóreo","Goéland bourgmestre","Eismöwe","Бургомистр","Gabbiano glauco","gaivota-hiperbórea","シロカモメ","115","https://www.gbif.org/species/2481127","https://baike.baidu.com/item/北极鸥"
"Larus schistisagus","Laridae","灰背鸥","Slaty-backed Gull","Gaviota de Kamchatka","Goéland à manteau ardoisé","Kamtschatkamöwe","Тихоокеанская чайка","Gabbiano dorsoardesia","gaivota-de-kamchatka","オオセグロカモメ","103","https://www.gbif.org/species/2481163","https://baike.baidu.com/item/灰背鸥"
"Gallinago nemoricola","Scolopacidae","林沙锥","Wood Snipe","Agachadiza del Himalaya","Bécassine des bois","Nepalbekassine","Гималайский дупель","Beccaccino boschereccio","narceja-do-bosque","モリジシギ","101","https://www.gbif.org/species/2481826","https://baike.baidu.com/item/林沙锥"
"Larus vegae","Laridae","西伯利亚银鸥","Vega Gull","Gaviota del este de Siberia","Goéland de la Vega","Ostsibirienmöwe","Восточносибирская чайка","Gabbiano siberiano","gaivota-siberiana","セグロカモメ","101","https://www.gbif.org/species/5789289","https://baike.baidu.com/item/西伯利亚银鸥"
"Larus smithsonianus","Laridae","美洲银鸥","American Herring Gull","Gaviota argéntea americana","Goéland hudsonien","Kanadamöwe","Американская чайка","Gabbiano reale americano","gaivota-prateada-americana","アメリカセグロカモメ","83","https://www.gbif.org/species/4848480","https://baike.baidu.com/item/美洲银鸥"
"Chroicocephalus genei","Laridae","细嘴鸥","Slender-billed Gull","Gaviota picofina","Goéland railleur","Dünnschnabelmöwe","Морской голубок","Gabbiano roseo","gaivota-de-bico-fino","ハシボソカモメ","79","https://www.gbif.org/species/6065810","https://baike.baidu.com/item/细嘴鸥"
"Onychoprion aleuticus","Laridae","白腰燕鸥","Aleutian Tern","Charrán aleutiano","Sterne des Aléoutiennes","Aleutenseeschwalbe","Камчатская крачка","Sterna aleutina","gaivina-das-aleutas","コシジロアジサシ","78","https://www.gbif.org/species/5789282","https://baike.baidu.com/item/白腰燕鸥"
"Charadrius mongolus","Charadriidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"77","https://www.gbif.org/species/9722670",NULL
"Hydrocoloeus minutus","Laridae","小鸥","Little Gull","Gaviota enana","Mouette pygmée","Zwergmöwe","Малая чайка","Gabbianello","gaivota-pequena","ヒメカモメ","70","https://www.gbif.org/species/6065841","https://baike.baidu.com/item/小鸥"
"Phalaropus fulicarius","Scolopacidae","灰瓣蹼鹬","Red Phalarope","Falaropo picogrueso","Phalarope à bec large","Thorshühnchen","Плосконосый плавунчик","Falaropo beccolargo","falaropo-de-bico-grosso","ハイイロヒレアシシギ","67","https://www.gbif.org/species/5229390","https://baike.baidu.com/item/灰瓣蹼鹬"
NULL,"Laridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"67",NULL,NULL
"Glareola pratincola","Glareolidae","领燕鸻","Collared Pratincole","Canastera común","Glaréole à collier","Rotflügel-Brachschwalbe","Луговая тиркушка","Pernice di mare","perdiz-do-mar-ocidental","ニシツバメチドリ","67","https://www.gbif.org/species/2480757","https://baike.baidu.com/item/领燕鸻"
"Burhinus oedicnemus","Burhinidae","石鸻","Eurasian Stone-curlew","Alcaraván común","Œdicnème criard","Triel","Авдотка","Occhione","alcaravão-comum","イシチドリ","66","https://www.gbif.org/species/2482100","https://baike.baidu.com/item/石鸻"
"Calidris melanotos","Scolopacidae","斑胸滨鹬","Pectoral Sandpiper","Correlimos pectoral","Bécasseau à poitrine cendrée","Graubrust-Strandläufer","Дутыш","Piovanello pettorale","pilrito-de-colete","アメリカウズラシギ","62","https://www.gbif.org/species/2481744","https://baike.baidu.com/item/斑胸滨鹬"
NULL,"Scolopacidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"55",NULL,NULL
"Stercorarius pomarinus","Stercorariidae","中贼鸥","Pomarine Jaeger","Págalo pomarino","Labbe pomarin","Spatelraubmöwe","Средний поморник","Stercorario mezzano","moleiro-pomarino","トウゾクカモメ","49","https://www.gbif.org/species/2481609","https://baike.baidu.com/item/中贼鸥"
"Thalasseus sandvicensis","Laridae","白嘴端凤头燕鸥","Sandwich Tern","Charrán patinegro","Sterne caugek","Brandseeschwalbe","Пестроносая крачка","Beccapesci","garajau-comum","サンドイッチアジサシ","38","https://www.gbif.org/species/2481240","https://baike.baidu.com/item/白嘴端凤头燕鸥"
"Synthliboramphus antiquus","Alcidae","扁嘴海雀","Ancient Murrelet","Mérgulo antiguo","Guillemot à cou blanc","Silberalk","Старик","Urietta canuta","mérgulo-ancião","ウミスズメ","37","https://www.gbif.org/species/2481350","https://baike.baidu.com/item/扁嘴海雀"
