"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Limnodromus griseus","Scolopacidae","短嘴半蹼鹬","Short-billed Dowitcher","Agujeta gris","Bécassin roux","Moorschlammläufer","Короткоклювый бекасовидный веретенник","Limnodromo grigio","maçarico-de-bico-curto","アメリカオオハシシギ","2","https://www.gbif.org/species/2481672","https://baike.baidu.com/item/短嘴半蹼鹬"
"Esacus recurvirostris","Burhinidae","大石鸻","Great Stone-curlew","Alcaraván piquigrueso indio","Grand Œdicnème","Krabbentriel","Крабовая авдотка","Occhione maggiore","alcaravão-grande","ソリハシオオイシチドリ","1","https://www.gbif.org/species/2482089","https://baike.baidu.com/item/大石鸻"
"Larus delawarensis","Laridae","环嘴鸥","Ring-billed Gull","Gaviota de Delaware","Goéland à bec cerclé","Ringschnabelmöwe","Делавэрская чайка","Gavina americana","gaivota-de-bico-riscado","オビハシカモメ","1","https://www.gbif.org/species/2481134","https://baike.baidu.com/item/环嘴鸥"
"Jiliniornis huadianensis","Charadriidae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","https://www.gbif.org/species/4966622",NULL
"Sterna acuticauda","Laridae","黑腹燕鸥","Black-bellied Tern","Charrán ventrinegro","Sterne à ventre noir","Schwarzbauch-Seeschwalbe","Чернобрюхая крачка","Sterna pancianera","andorinha-do-mar-de-barriga-preta","インドアジサシ","1","https://www.gbif.org/species/5229261","https://baike.baidu.com/item/黑腹燕鸥"
"Larus occidentalis","Laridae","西美鸥","Western Gull","Gaviota occidental","Goéland d’Audubon","Westmöwe","Западная чайка","Gabbiano occidentale","gaivota-ocidental","アメリカオオセグロカモメ","1","https://www.gbif.org/species/9656686","https://baike.baidu.com/item/西美鸥"
"Esacus magnirostris","Burhinidae","澳洲石鸻","Beach Stone-curlew","Alcaraván piquigrueso australiano","Œdicnème des récifs","Rifftriel","Рифовая авдотка","Occhione ripario","alcaravão-das-praias","ハシブトオオイシチドリ","1","https://www.gbif.org/species/2482091","https://baike.baidu.com/item/澳洲石鸻"
"Tringa flavipes","Scolopacidae","小黄脚鹬","Lesser Yellowlegs","Archibebe patigualdo chico","Petit Chevalier","Gelbschenkel","Желтоногий улит","Totano zampegialle minore","perna-amarela-pequeno","コキアシシギ","1","https://www.gbif.org/species/2481721","https://baike.baidu.com/item/小黄脚鹬"
"Larus kamtschatschensis","Laridae",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","https://www.gbif.org/species/8934315",NULL
"Leucophaeus atricilla","Laridae","笑鸥","Laughing Gull","Gaviota guanaguanare","Mouette atricille","Aztekenmöwe","Ацтекская чайка","Gabbiano sghignazzante","gaivota-risonha","ワライカモメ","1","https://www.gbif.org/species/6065844","https://baike.baidu.com/item/笑鸥"
"Stercorarius maccormicki","Stercorariidae","南极贼鸥","South Polar Skua","Págalo polar","Labbe de McCormick","Südpolarskua","Южнополярный поморник","Stercorario di McCormick","moleiro-antárctico","オオトウゾクカモメ","1","https://www.gbif.org/species/2481616","https://baike.baidu.com/item/南极贼鸥"
"Calidris himantopus","Scolopacidae","高跷鹬","Stilt Sandpiper","Correlimos zancolín","Bécasseau à échasses","Bindenstrandläufer","Ходулочниковый песочник","Piro piro zampelunghe","pilrito-pernilongo","アシナガシギ","1","https://www.gbif.org/species/5229400","https://baike.baidu.com/item/高跷鹬"
"Vanellus miles","Charadriidae","白颈麦鸡","Masked Lapwing","Avefría militar norteña","Vanneau soldat","Maskenkiebitz","Солдатский чибис","Pavoncella mascherata","abibe-mascarado","ズグロトサカゲリ","1","https://www.gbif.org/species/5229134","https://baike.baidu.com/item/白颈麦鸡"
"Tringa solitaria","Scolopacidae","褐腰草鹬","Solitary Sandpiper","Andarríos solitario","Chevalier solitaire","Einsiedelwasserläufer","Улит-отшельник","Piro piro solitario","maçarico-solitário","コシグロクサシギ","1","https://www.gbif.org/species/2481710","https://baike.baidu.com/item/褐腰草鹬"
