"学名","科","中文名","英文名","西班牙文名","法文名","德语名","俄语名","意大利语名","葡萄牙语名","日语名","出现次数","gbif_link","baidu_link"
"Netta rufina","Anatidae","赤嘴潜鸭","Red-crested Pochard","Pato colorado","Nette rousse","Kolbenente","Красноносый нырок","Fistione turco","pato-de-bico-vermelho","アカハシハジロ","2100","https://www.gbif.org/species/2498180","https://baike.baidu.com/item/赤嘴潜鸭"
"Anser indicus","Anatidae","斑头雁","Bar-headed Goose","Ánsar indio","Oie à tête barrée","Streifengans","Горный гусь","Oca indiana","ganso-de-cabeça-listada","インドガン","1820","https://www.gbif.org/species/2498035","https://baike.baidu.com/item/斑头雁"
"Cygnus cygnus","Anatidae","大天鹅","Whooper Swan","Cisne cantor","Cygne chanteur","Singschwan","Лебедь-кликун","Cigno selvatico","cisne-bravo","オオハクチョウ","1680","https://www.gbif.org/species/2498347","https://baike.baidu.com/item/大天鹅"
"Sibirionetta formosa","Anatidae","花脸鸭","Baikal Teal","Cerceta del Baikal","Sarcelle élégante","Gluckente","Клоктун","Alzavola asiatica","marrequinha-formosa","トモエガモ","1425","https://www.gbif.org/species/9235549","https://baike.baidu.com/item/花脸鸭"
"Aythya baeri","Anatidae","青头潜鸭","Baer's Pochard","Porrón de Baer","Fuligule de Baer","Baermoorente","Бэров нырок","Moriglione di Baer","zarro-de-baer","アカハジロ","1168","https://www.gbif.org/species/2498260","https://baike.baidu.com/item/青头潜鸭"
"Cygnus atratus","Anatidae","黑天鹅","Black Swan","Cisne negro","Cygne noir","Schwarzschwan","Чёрный лебедь","Cigno nero","cisne-preto","コクチョウ","1011","https://www.gbif.org/species/2498344","https://baike.baidu.com/item/黑天鹅"
"Aythya marila","Anatidae","斑背潜鸭","Greater Scaup","Porrón bastardo","Fuligule milouinan","Bergente","Морская чернеть","Moretta grigia","zarro-bastardo","スズガモ","972","https://www.gbif.org/species/2498265","https://baike.baidu.com/item/斑背潜鸭"
"Mergus serrator","Anatidae","红胸秋沙鸭","Red-breasted Merganser","Serreta mediana","Harle huppé","Mittelsäger","Длинноносый крохаль","Smergo minore","merganso-de-poupa","ウミアイサ","935","https://www.gbif.org/species/2498375","https://baike.baidu.com/item/红胸秋沙鸭"
"Mergus squamatus","Anatidae","中华秋沙鸭","Scaly-sided Merganser","Serreta china","Harle de Chine","Schuppensäger","Чешуйчатый крохаль","Smergo squamato","merganso-chinês","コウライアイサ","802","https://www.gbif.org/species/5232483","https://baike.baidu.com/item/中华秋沙鸭"
"Anas poecilorhyncha","Anatidae","印缅斑嘴鸭","Indian Spot-billed Duck","Ánade picopinto indio","Canard à bec tacheté","Indien-Fleckschnabelente","Пестроносая кряква","Germano beccomacchiato","pato-de-bico-pintado-indiano","アカボシカルガモ","605","https://www.gbif.org/species/9450106","https://baike.baidu.com/item/印缅斑嘴鸭"
